location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Warje,832,6500000,INR,0,0,0,"A spacious 2 bhk builder floor is available for sale in Warje, Pune. It has a salable area of 832 sqft and is available at a price of Rs. 7,812 per sqft. It is an unfurnished property. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Hinjawadi Village,800,6000000,INR,,0,0,"A 2 bhk property is available for sale in Hinjawadi Village, Pune. It has a salable area of 800 sqft and is available at a price of Rs. 7,500 per sqft. It is an unfurnished property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Wagholi,849,3399396,INR,1,0,0,Well designed 2 bhk builder floor is available at a prime location in Wagholi. It has a built-up area of 849 sqft and is priced at Rs. 34.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Karve Nagar,1550,20498750,INR,,0,0,"A spacious 3 bhk builder floor is available for sale in Karve Nagar, Pune. It has an area of 1550 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 2.05 cr . The house is semi-furnished. This residential property is ready-to-move-in. It is well connected to the city areas. Please contact for more details. ",1,north,0,0,1,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,
Kharadi,850,6400000,INR,1,0,0,It has a built-up area of 850 sqft and is priced at Rs. 64.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Ambegaon Budruk,1090,5800000,INR,,0,0,"It’s a 2 bhk builder floor situated in Ambegaon Budruk. It has a built-up area of 1090 sqft and is priced at Rs. 58.00 lac . The house is unfurnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Kalewadi,2500,8000000,INR,0,0,0,Well designed 4 bhk builder floor is available at a prime location in Kalewadi. It has an area of 2500 sqft . The property is available at a price of Rs. 80.00 lac . The house is furnished. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ,1,,1,0,0,0,0,0,0,0,0,0,0,0,9.2,,,,,,,,,,,,,,,,
Shivaji Nagar,3200,25000000,INR,1,0,0,"It’s a 6 bhk builder floor situated in Shivaji Nagar, Pune. It has an area of 3200 sqft . The property is available at a price of Rs. 2.50 cr . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,9.3,,,,,,,,,,,,,,,,
Old Sangvi,260,1400000,INR,,0,0,"It’s a 1 rk builder floor situated in Old Sangvi, Pune. It has a salable area of 260 sqft and is available at a price of Rs. 5,384 per sqft. It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohegaon,833,4000000,INR,,1,0,"It has a salable area of 833 sqft and is available at a price of Rs. 4,801 per sqft. It has full_power_backup as well as children's_play_area. The project also has lift(s), gymnasium and club_house. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,0,8,,22,1,1,1,,,,,,,,,,,
Kondhwa,1900,11500000,INR,,0,0,"Well designed 3 bhk builder floor is available at a prime location in Kondhwa. It has a salable area of 1900 sqft and is available at a price of Rs. 6,052 per sqft. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,0,0,0,0,0,0,8.8,,,,,,,,,,,,,,,,
Pimple Saudagar,1717,9800000,INR,,0,0,"It’s a 2 bhk builder floor situated in Kasturi Housing Element 5, Pimple Saudagar. It has an area of 1717 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 98.00 lac . It is an unfurnished property. It is facing east direction. It is a 14 year old ready-to-move-in property. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,14,1,1,1,1,1,1,1,1,1,0,,8,23,1,1,1,1,,,,,,,,,,
